date,Switch Value : 0.5,Switch Value : 1.0,Switch Value : 1.5,Switch Value : 2.0,Switch Value : 2.5,qqq_intraday,qqq_simple_investment
2018-04-25,7889.417328154051,14291.585020686853,17510.66395601263,21604.022700038797,21770.649221188498,9232.067836033984,10026.330636448158
2018-04-26,7694.178654116493,13937.912500489878,17077.32918994708,21069.38996730443,21231.892997492043,9306.177646998187,10237.41210318511
2018-04-27,8018.8275424758385,14526.01007435021,17797.891603025015,20233.412852789716,20389.468196808582,9177.090378607454,10243.734538582821
2018-04-30,7795.794911042298,14121.989133140123,17302.86778848791,19670.648372878528,19822.363252678475,9090.668657851184,10171.056056892112
2018-05-01,8120.116868420274,13558.696308166556,16612.697219396538,18886.03262317382,19031.69595439748,9218.658071527856,10287.339025360103
2018-05-02,8301.73219567158,13234.634356397555,16215.6425938849,18434.64375407197,18576.825633809098,9148.55475891969,10226.668867225155
2018-05-03,8188.719392100328,13054.469169469852,15994.896466685106,18183.690010397706,18323.93634554397,9194.013589517885,10225.405781350228
2018-05-04,7630.7146635074605,12164.897164735961,14904.954629091573,16944.596994356976,17075.28650939106,9409.167710627977,10419.421576729515
2018-05-07,7541.2186273305215,12022.222444902638,14730.14343282445,17093.539700028334,17225.377973571016,9443.251012222892,10506.004011648814
2018-05-08,7517.827750694881,12046.82189138037,14760.283731479358,17128.515896558794,17260.623932915183,9453.49792352914,10495.26077568886
2018-05-09,7716.016727624363,12364.406622645818,15149.402188158601,17580.066950192017,17715.6576889244,9539.299898661673,10609.6451119027
2018-05-10,7555.475417296678,12107.149787844344,15473.701671026725,17956.399068774925,18094.89236471098,9607.267663126782,10719.61465271694
2018-05-11,7540.494302787828,12132.654310730837,15506.298061203022,17994.225427499616,18133.01046885038,9609.536420086002,10709.50095797357
2018-05-14,7550.548295191546,12148.831183145145,15526.973125284627,18018.217728069616,18157.18781614218,9603.87841443731,10727.830716066603
2018-05-15,7484.41294099208,12042.41940720584,15390.97215858129,17860.39591634134,17998.14876354099,9573.083471765185,10609.014569825678
2018-05-16,7604.8463120316965,11840.156548945277,15132.467458243362,17560.41510637695,17695.85427526446,9623.770833491328,10679.164878045658
2018-05-17,7614.7291532429135,11827.09248074838,15115.770754441804,17541.03947907277,17676.329208505525,9620.341872409505,10638.086563018227
2018-05-18,7648.963645261347,11880.265022408777,15183.728619105319,17619.900928240084,17755.79889666194,9607.720568418657,10583.105295622649
2018-05-21,7699.022307861224,11958.015447948103,15283.098570801034,17735.214415990347,17872.001769022296,9587.225276991176,10642.508364440913
